eri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,40438,61996,84348,108631,141130,185275,305283,354844,417400,475000,0,0,241939,506000,695000,NA,NA
esp,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1700,4200,11628,29783,54700,108451,180296,944955,2997645,4337696,6437444,15003708,24265059,29655729,33530997,37219839,38622582,42694115,45695061,48422470,49623339,51052693,51389417,50665099,50158689,50806251,51067770,257261,411930,52590507,51521507,52506928,54161014,55267594
est,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,2498,30452,69500,144200,247000,387000,557000,651200,881000,1050241,1255731,1445300,1658700,1681849,1624465,1570538,1652809,1999750,1927423,1897551,1903545,7224,13774,1806075,1897921,1904425,1924034,1951051
eth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6740,17757,27500,50369,51324,155534,410630,866700,1208498,1954527,4051703,6854000,20523889,25646865,30490000,42311629,0,0,14126659,51224000,39600000,NA,NA
fin,0,0,0,0,0,0,0,0,23482,28278,33880,42226,52010,67639,85300,105860,138160,190031,257872,319137,386021,1039126,1502003,2162574,2845985,3273433,3728625,4175587,4516772,4747126,4988000,5270000,5670000,6080000,6830000,7700000,8390000,9320000,7411200,7602600,7396200,489174,675565,8940000,7220100,7160000,7150000,7150000
fji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,3700,5200,8000,23380,55057,80933,89900,109882,142190,205000,284661,530048,600000,640000,697920,858809,930406,876176,965950,0,1100,727000,1044685,1033915,NA,NA
fra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9055,39234,98332,178400,283200,375000,436700,1302496,2462700,5817300,11210100,21433500,29052360,36997400,38585300,41702000,44544000,48088000,51662000,55358100,57972000,57918000,57785000,62260000,63324000,65425000,66681000,572000,883000,59816000,67571000,69018000,70422000,72043000
fro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1429,1718,2558,3265,4701,6516,10761,16971,24487,34737,38026,41298,42032,49965,52169,54860,56993,59446,58722,57751,58282,53213,1605,1960,58475,54487,56619,56792,NA
fsm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5869,12782,14094,18616,27436,27500,27500,27518,31213,31393,NA,22505,0,0,27600,23412,23114,NA,NA
gab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,4000,6800,9500,9694,8891,120000,150000,279289,300000,489367,736690,897987,1169000,1300000,1450000,1610000,2557728,2745229,2932731,2821555,1200,2581,2370227,2962486,2663243,2930554,NA
gbr,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,130000,290000,560000,975000,1114000,1260000,1507000,5735785,7248355,8841000,14878000,27185000,43452000,46283000,49228000,54256221,59687915,65471665,70077926,73836210,74940937,76481053,76729827,78329355,78673978,78460684,79250793,2268000,3940000,77162298,78931386,79098617,79472341,NA
geo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2300,30000,60000,133243,194741,301327,503619,711224,840645,1174308,1703888,2599714,2755087,2837000,3978242,4698582,4993119,5400766,5550730,0,0,4430344,5531875,5502395,5459239,5384462
gha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,6200,12766,21866,41753,70026,130045,243797,386775,795529,1695000,2874560,5207242,7604053,11570430,15108916,17436949,25618427,28026482,30360771,35008387,1742,3336,21165843,38305078,36751761,40934875,40857077
gib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,1002,1620,2445,3648,5558,9797,12167,15900,18392,20000,22000,24000,26000,28600,30000,34750,NA,38000,41441,0,0,32500,41136,41035,41045,40537
gin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,950,2868,21567,25182,42112,55670,90772,111500,154900,189000,NA,2000000,2750000,3489000,4000000,5584700,7436471,8683500,10764000,42,812,4860590,11110000,11700000,12013000,12873000
gmb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1442,3096,4734,5048,5307,5600,55085,100000,149300,175000,247478,404345,800371,1166136,1312874,1478347,1526191,1848854,2283691,2715672,457,812,1401163,2838127,2966000,3181393,NA
gnb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,39451,98825,157330,296223,500156,560345,677365,1049193,939909,1108297,1238493,0,0,732634,1285835,1434822,1480491,1590381
gnq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,300,297,600,5000,15000,32000,41500,61900,96900,120000,150000,180000,200000,399290,501077,510783,516540,533336,0,0,478860,575650,566113,591223,NA
grc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273000,532000,937700,2047000,3904000,5932403,7963742,9314260,8936202,9324335,10260396,10979826,12294912,13799340,13295093,12292716,13360280,12518645,12144598,12566649,48000,153000,12127985,12538927,12937106,12170757,11882081
grd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,147,181,400,570,976,1410,2012,4300,6414,7553,42293,43313,46858,46193,51381,60022,114424,121946,129912,133000,117151,119767,282,350,120855,118973,113177,116184,NA
grl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,2052,4122,6481,8899,13521,15114,15882,19924,29749,39033,46480,53900,66400,55816,53468,57349,59455,60400,60800,61000,438,964,58742,NA,62232,62537,64878
gtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1221,2141,29999,43421,64194,111445,337800,856831,1146441,1577085,2034776,3168256,4510067,7178745,11897563,14948640,17307459,18067970,20787080,21716357,16911811,18121390,2990,10462,19479105,18264520,19986482,20467520,20874130
gum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,1301,4965,5803,5673,12837,20000,27200,32600,70500,79800,98000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907,4098,NA,NA,NA,NA,NA
guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,1243,1200,1400,1454,2815,39830,75320,79400,137955,171656,281368,400000,538774,447769,488533,560397,547047,555035,566905,542598,1029,1251,528757,584659,643210,NA,NA
hkg,0,0,0,0,0,0,0,0,0,0,0,0,1000,4400,10000,28060,51280,89193,133912,189664,233324,798373,1361861,2229862,3174369,4275048,5447346,5776360,6395725,7349202,8213959,8544255,9444140,10751622,11580149,12597171,13793729,16387536,16973133,16959455,16724440,290843,484823,15292924,17584969,18394762,19898785,21455736
hnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,14427,34896,78588,155271,237629,326508,379362,707201,1281462,2240756,4184834,6210711,8390755,9505071,7370034,7767235,7725092,8048388,0,0,8062229,7832802,8233499,7588554,7089691
hrv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,2019,6320,33688,64943,120420,182500,295000,1033000,1755000,2312600,2537300,2835500,3649700,4395200,5034582,4554777,4675017,4928352,4971351,4721015,4461352,4415660,11382,21664,5115140,4414347,4315580,4388476,4404652
hti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,25000,55000,91500,140000,320000,400000,500200,1200000,2500000,3200000,3648000,4000000,6094947,7160200,6769312,7300000,0,0,4200000,6504010,6305862,6399044,NA
hun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,8477,23292,265000,473100,705786,1070154,1628153,3076279,4967430,6886111,7944586,8727188,9320000,9965720,11029930,12224163,11792475,12011823,11579425,11590326,11726491,9900582,45712,143000,11689937,9952001,9945037,10041939,10272694
idn,0,0,0,0,0,0,0,0,0,0,0,0,1750,2029,4531,6321,9008,12928,18096,24528,35546,210643,562517,916173,1065820,2220969,3669327,6520947,11700000,18495251,30336607,46909972,63803015,93386881,140578243,163676961,211290235,281963665,313226914,325582819,338948340,53438,78024,249805619,385573398,435193605,319434605,345025155
ind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76680,327967,881839,1195400,1884311,3577095,6540000,13000000,33690000,52220000,90140000,166050000,233620000,346890000,525090000,752190000,864720917,886304245,944008677,1001056000,0,0,893862478,1127809000,1168902277,1176021869,1151480361
irl,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1500,3475,6300,13579,25000,32000,44000,158000,288600,545000,946000,1677000,2461000,2970000,3000000,3500000,3860000,4270000,4690135,4970719,5048127,4704497,4701474,5013676,4880792,4912620,4902009,61100,88000,4906352,4875116,4898872,4971493,5145256
irn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15902,59967,238942,389974,490478,962595,2087353,2279143,3449876,5075678,8510513,15385289,29770000,43000000,52555000,54051764,58157539,65246219,68891151,74218815,0,9200,56043006,80520249,87046953,88722442,118061419
irq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,80000,574000,1533000,9345371,14021232,17529000,20116876,23264408,26756000,32450000,33000000,33559000,0,0,25519000,33447000,33415690,36527353,NA
isl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,5008,6519,7893,10010,12889,15251,30883,46805,65368,104280,172614,214896,248131,260438,279670,290068,283108,301922,326098,336922,339715,341077,352114,356264,370047,383919,17409,21845,344085,401613,401231,411361,413446
isr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15240,23000,36104,445456,1047582,1672442,2147000,2880000,4400000,5500621,6300008,6618367,7221955,7757000,8403765,8902000,8982000,9022000,9111000,9225000,9500000,9500000,10570000,64484,133425,9200000,10570000,10540000,10700000,10800000
ita,0,0,0,0,0,0,0,0,0,0,0,0,0,6415,9044,16534,33609,66070,266000,568000,783000,3923000,6422000,11737904,20489000,30296000,42246000,51246000,54200000,56770000,62750000,71500000,80418000,89801000,90341000,90032886,93666088,97188624,96863107,89914609,87691238,1207175,2240000,96040913,85955905,83871543,83342486,80580548
jam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,7628,45138,54640,65995,78624,144388,366952,597826,1244976,1576360,1837552,1981464,2274650,2684331,2723323,2956061,3181995,2714938,2846196,3005490,3137213,15221,26106,2945395,3267344,3091222,2964974,3023873
jor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,1462,1462,11840,24113,45037,82429,118417,388949,865627,1219597,1325313,1624110,3137700,4343100,4771641,5313564,6014366,6620000,8984252,10313976,11092404,13797968,1456,1446,7482561,9818446,9703287,8731760,7778770
jpn,0,0,0,0,0,0,0,0,0,13275,19804,27198,40392,61800,95131,150773,242888,489558,868078,1378108,1712545,11712137,26906511,38253893,47307592,56845594,66784374,74819158,81118324,86655000,91474000,96484000,99826000,107339000,110394996,116295378,123287125,141129280,147887593,157856591,160559734,2131367,4331369,132761125,166852753,172789990,179872794,NA
kaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,9798,11202,29700,49500,197300,582000,1027000,1330730,2447000,5398000,7775737,12322676,14910573,17063200,19402600,30235400,30364900,28595600,26309300,0,400,25240800,25534800,26693300,26065600,25709000
ken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,2279,2826,6767,10756,23757,127404,600000,1187122,1590785,2546157,4611970,7340317,11349412,16303573,19364559,24968891,30731754,31830003,33632631,37715944,1162,1990,28080771,38982188,42815109,49501430,54555497
